Layer,Independent,Incremental,,,Layer,Independent,Incremental,,,Layer,Independent,Incremental,,
2,0.583821,0.577965,,,2,0.582357,0.530747,,,,2,0.580893,0.576867,
3,0.600293,0.595168,,,3,0.577965,0.554539,,,,3,0.551611,0.553075,
4,0.600659,0.585652,,,4,0.560395,0.439971,,,,4,0.556369,0.569546,
5,0.611274,0.598829,,,5,0.566984,0.43448,,,,5,0.584553,0.470717,
6,0.60981,0.596266,,,6,0.58675,0.43448,,,,6,0.602123,0.453148,
7,0.623353,0.593704,,,7,0.571376,0.583455,,,,7,0.592972,0.454978,
8,0.611274,0.588214,,,8,0.592972,0.601391,,,,8,0.614568,0.515739,
9,0.609444,0.598463,,,9,0.594436,0.442899,,,,9,0.612372,0.5194,
10,0.61713,0.602123,,,10,0.59407,0.621157,,,,10,0.639458,0.491947,
11,0.628111,0.611274,,,11,0.602123,0.464861,,,,11,0.631772,0.500732,
12,0.625549,0.614568,,,12,0.618228,0.612738,,,,12,0.644217,0.513909,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Layer,Independent,Incremental,,,Layer,Independent,Incremental,,,Layer,Independent,Incremental,,
0,0.56552,0.56552,CodeGPTPy,,0,0.56552,0.56552,CodeGPTPyAdapted,,0,0.56552,0.56552,JavaBERT,
1,0.589312,0.587482,,,1,0.56552,0.562958,,,1,0.560761,0.566984,,
2,0.609078,0.607247,,,2,0.547584,0.529283,,,2,0.574305,0.574305,,
3,0.630307,0.620425,,,3,0.533309,0.549048,,,3,0.581625,0.579795,,
4,0.603221,0.604685,,,4,0.557833,0.529649,,,4,0.585652,0.571376,,
5,0.614568,0.581991,,,5,0.562592,0.465593,,,5,0.577965,0.579063,,
6,0.616032,0.47328,,,6,0.578331,0.588214,,,6,0.573572,0.572108,,
7,0.616764,0.464861,,,7,0.573939,0.58858,,,7,0.576867,0.566252,,
8,0.625915,0.510981,,,8,0.578697,0.614202,,,8,0.577233,0.576501,,
9,0.619693,0.536237,,,9,0.57284,0.606149,,,9,0.576867,0.575037,,
10,0.617496,0.61713,,,10,0.586018,0.616032,,,10,0.574305,0.574671,,
11,0.633602,0.59224,,,11,0.575769,0.599195,,,11,0.576135,0.566252,,
12,0.650805,0.635798,,,12,0.640556,0.592606,,,12,0.575769,0.57284,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Layer,Independent,Incremental,,,,,,,,,,,,
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
